taxon	tube	Replicate	Hour	Isotope	unique.tube	unique.tmt	copies.ul	t.copies.ul	code
sip5	1	rC	t3	18O	rC_t3_18O	t3_18O	567500000	442264.482	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t48	18O	rA_t48_18O	t48_18O	1164900000	808485.452	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t48	18O	rB_t48_18O	t48_18O	1263300000	1166077.952	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t48	18O	rC_t48_18O	t48_18O	1270900000	962686.494	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rA	t72	18O	rA_t72_18O	t72_18O	738400000	486840.392	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rB	t72	18O	rB_t72_18O	t72_18O	1466300000	638892.678	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip5	1	rC	t72	18O	rC_t72_18O	t72_18O	1045500000	304650.251	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter
sip7	1	rA	t0	16O	rA_t0_16O	t0_16O	1022024000	4989464.3711	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rB	t0	16O	rB_t0_16O	t0_16O	7.41e+08	3395625.5012	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rC	t0	16O	rC_t0_16O	t0_16O	1061780000	7068967.2888	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rA	t168	16O	rA_t168_16O	t168_16O	889672000	3695533.778	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rB	t168	16O	rB_t168_16O	t168_16O	815530000	2745353.0145	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rC	t168	16O	rC_t168_16O	t168_16O	1057330000	7365037.6315	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rA	t24	16O	rA_t24_16O	t24_16O	823660000	2057495.634	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rB	t24	16O	rB_t24_16O	t24_16O	703110000	2666061.347	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rC	t24	16O	rC_t24_16O	t24_16O	1813460000	9102626.5854	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rA	t3	16O	rA_t3_16O	t3_16O	1450280000	4061889.3834	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rB	t3	16O	rB_t3_16O	t3_16O	924740000	3464097.451	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rC	t3	16O	rC_t3_16O	t3_16O	708970000	2228954.664	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rA	t48	16O	rA_t48_16O	t48_16O	1047520000	3437132.6513	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rB	t48	16O	rB_t48_16O	t48_16O	946920000	3985095.2704	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rC	t48	16O	rC_t48_16O	t48_16O	665988000	2429044.1715	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rA	t72	16O	rA_t72_16O	t72_16O	761340000	2603973.2028	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rB	t72	16O	rB_t72_16O	t72_16O	864880000	3091475.0436	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rC	t72	16O	rC_t72_16O	t72_16O	901640000	3938617.1222	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rA	t168	18O	rA_t168_18O	t168_18O	1.161e+09	3960221.544	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rB	t168	18O	rB_t168_18O	t168_18O	1099500000	2867144.6015	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rC	t168	18O	rC_t168_18O	t168_18O	1.102e+09	5537826.474	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rA	t24	18O	rA_t24_18O	t24_18O	542100000	1172385.4932	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rB	t24	18O	rB_t24_18O	t24_18O	1093120000	4747683.1986	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
sip7	1	rC	t24	18O	rC_t24_18O	t24_18O	1168400000	4389878.5004	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Streptomycetaceae;g_Streptomyces
