"","genus","time_moisture","b.boot.median","d.boot.median"
"262","g_WPS-1_genera_incertae_sedis","x100_t72",16946.5115455915,-1954646.63474909
"263","g_WPS-1_genera_incertae_sedis","x50_t168",143029.990552993,-47374.5675219978
"264","g_WPS-1_genera_incertae_sedis","x50_t72",109155.102829756,-1060.3018607295
"265","g_unclassified_Acetobacteraceae","x100_t168",150545.83128224,-359854.520138267
"266","g_unclassified_Acetobacteraceae","x100_t24",253994.428727596,-661443.253027917
"267","g_unclassified_Acetobacteraceae","x100_t3",959824.148505552,-20926596.5635306
"268","g_unclassified_Acetobacteraceae","x100_t48",584588.535847717,-322673.627187183
"269","g_unclassified_Acetobacteraceae","x100_t72",81547.1927166479,-455556.186789409
"270","g_unclassified_Acidimicrobiales","x100_t168",271410.35858796,-1824509.67735949
"271","g_unclassified_Acidimicrobiales","x100_t24",684513.652841393,-6420998.15919313
"272","g_unclassified_Acidimicrobiales","x100_t3",14859702.413367,-101272826.505348
"273","g_unclassified_Acidimicrobiales","x100_t48",276500.252619896,-5033090.21052025
"274","g_unclassified_Acidimicrobiales","x100_t72",106415.617739063,-3032059.10345471
"275","g_unclassified_Acidimicrobiales","x50_t168",34419.6943204316,-55917.3915584197
"276","g_unclassified_Acidobacteria_Gp1","x100_t168",167714.092617783,-19122.8227653628
"277","g_unclassified_Acidobacteria_Gp1","x100_t24",1205279.95028045,-686978.817182648
"278","g_unclassified_Acidobacteria_Gp1","x100_t3",9227033.431329,-38314788.7066953
"279","g_unclassified_Acidobacteria_Gp1","x100_t48",828731.476269826,-233768.311543726
"280","g_unclassified_Acidobacteria_Gp1","x100_t72",797620.476711248,-23147.7566368471
"281","g_unclassified_Acidobacteria_Gp1","x50_t3",57188.4945208339,-10362.5681370213
"282","g_unclassified_Acidobacteria_Gp3","x100_t72",265394.138247289,-1166985.18516198
"283","g_unclassified_Actinobacteria","x100_t168",1768492.85303017,-7658816.94232119
"284","g_unclassified_Actinobacteria","x100_t24",1605539.94935695,-23111510.8025665
"285","g_unclassified_Actinobacteria","x100_t3",37280869.8077647,-336898430.659833
"286","g_unclassified_Actinobacteria","x100_t48",5856579.30705319,-18483775.9211766
"287","g_unclassified_Actinobacteria","x100_t72",2947033.88281645,-12721884.8406181
"288","g_unclassified_Actinobacteria","x50_t168",726634.650136768,-1279769.84607053
"289","g_unclassified_Actinobacteria","x50_t24",2366131.25495762,-1611571.20531943
"290","g_unclassified_Actinobacteria","x50_t3",9446134.89950707,-20398880.1248799
"291","g_unclassified_Actinobacteria","x50_t48",711703.809140853,-1256350.19282051
"292","g_unclassified_Actinobacteria","x50_t72",1593585.93983775,-616994.797728101
"293","g_unclassified_Actinomycetales","x100_t168",803911.945276428,-1445580.76983519
"294","g_unclassified_Actinomycetales","x100_t24",822825.720270305,-2211410.64667672
"295","g_unclassified_Actinomycetales","x100_t3",8942936.35579966,-34527107.2373475
"296","g_unclassified_Actinomycetales","x100_t48",1250013.9968723,-2837203.91831985
"297","g_unclassified_Actinomycetales","x100_t72",1195864.83013257,-1456225.47259921
"298","g_unclassified_Bacillaceae 1","x100_t48",1481434.50366336,-821946.694804985
"299","g_unclassified_Bacillales","x100_t168",4188298.91043408,-6314643.9075772
"300","g_unclassified_Bacillales","x100_t24",37105023.9173753,-3391841.10987037
"301","g_unclassified_Bacillales","x100_t3",153667449.976725,-261198238.55396
"302","g_unclassified_Bacillales","x100_t48",36794091.2934337,-4156754.71053203
